Node;Highest score;Lowest score;Total generalization level;# Suppressed records;Non Uniform Entropy;Discerniblity;Precision;Distance RAU;Cost RAU
[0,0,0];1,0;1,0;0;33229;0,000000000000;?;0,000000000000;*;*
[0,0,1];1,0;1,0;1;33229;0,000000000000;?;0,000000000000;*;*
[0,0,2];1,0;1,0;2;33229;0,000000000000;?;0,000000000000;*;*
[0,0,3];1,0;1,0;3;33229;0,000000000000;?;0,000000000000;*;*
[0,0,4];0,3728401557800347;0,3728401557800347;4;11603;0,538009680318;0,650243716551;0,495766998462;1,135378489190745;1,1426193496130779
[0,0,5];0,26014853743892985;0,26014853743892985;5;9;0,998415977352;0,992991995987;0,739851462516;2,1833916444027466;2,225118915017124
[0,1,0];1,0;1,0;1;33229;0,000000000000;?;0,000000000000;*;*
[0,1,1];1,0;1,0;2;33229;0,000000000000;?;0,000000000000;*;*
[0,1,2];0,9987878707737274;0,9987878707737274;3;33188;0,000774263222;0,001233138072;0,000987099745;2,446487877273701;2,48947048743592
[0,1,3];0,7271885556171434;0,7271885556171434;4;23961;0,189145997897;0,278690434226;0,205871854715;1,0552061031865478;1,0543047254106657
[0,1,4] optimal;0,05208812372727034;0,05208812372727034;5;60;0,931935451293;0,994738878493;0,705956301483;1,135378489190745;1,1426193496130779
[0,1,5];0,280245609961161;0,280245609961161;6;9;0,977713467806;0,967113943966;0,660932647866;2,1833916444027466;2,225118915017124
[0,2,0];1,0;1,0;2;33229;0,000000000000;?;0,000000000000;*;*
[0,2,1];1,0;1,0;3;33229;0,000000000000;?;0,000000000000;*;*
[0,2,2];0,9840224387562313;0,9840224387562313;4;32677;0,010290145961;0,016599904096;0,012184599900;1,1247031121890638;1,121726070830335
[0,2,3];0,3216282534821795;0,3216282534821795;5;9720;0,493117119923;0,706709158759;0,482217481974;1,02541863511798;1,0237979540368976
[0,2,4];0,07190173072754713;0,07190173072754713;6;60;0,923397772827;0,991380437802;0,637920792358;1,135378489190745;1,1426193496130779
[0,2,5];0,30439023009543464;0,30439023009543464;7;9;0,974916169308;0,935470561090;0,590358477020;2,1833916444027466;2,225118915017124
[0,3,0];1,0;1,0;3;33229;0,000000000000;?;0,000000000000;*;*
[0,3,1];0,9993898364300662;0,9993898364300662;4;33207;0,000389542488;0,000661654199;0,000485526497;1,7071462320075323;1,733864018395505
[0,3,2];0,8932276996650266;0,8932276996650266;5;29377;0,071157229313;0,115825590969;0,077500188704;1,0600998542121678;1,058055069942843
[0,3,3];0,1416574750924724;0,1416574750924724;6;2293;0,696841654764;0,929263756104;0,585209093807;1,0;1,0
[0,3,4];0,10946895721009886;0,10946895721009886;7;60;0,916377676891;0,984635999948;0,576077464657;1,135378489190745;1,1426193496130779
[0,3,5];0,35016591532470964;0,35016591532470964;8;9;0,972616259370;0,871774561898;0,526221108359;2,1833916444027466;2,225118915017124
[0,4,0];1,0;1,0;4;33229;0,000000000000;?;0,000000000000;*;*
[0,4,1];0,9917897445818977;0,9917897445818977;5;32904;0,005463293350;0,009773939806;0,006523179818;1,696859341410762;1,7226148664179348
[0,4,2];0,7086129125794842;0,7086129125794842;6;21752;0,213142867715;0,345035026426;0,210790623634;1,0148547589223422;1,0135036887937732
