Node;Highest score;Lowest score;Total generalization level;# Suppressed records;Non Uniform Entropy;Discerniblity;Precision;Distance RAU;Cost RAU
[0,0,0];1,0;1,0;0;33229;0,000000000000;?;0,000000000000;*;*
[0,0,1];1,0;1,0;1;33229;0,000000000000;?;0,000000000000;*;*
[0,0,2];0,9889074903245714;0,9889074903245714;2;32860;0,008850738517;0,011103242049;0,009625224400;1,0417419663956309;1,03972551096516
[0,0,3];0,6496821117455727;0,6496821117455727;3;21529;0,286422427094;0,352041088643;0,284493394343;1,0552061031865478;1,0543047254106657
[0,0,4] optimal;0,035424469004838866;0,035424469004838866;4;54;0,987715120734;0,997661525530;0,782168786498;1,135378489190745;1,1426193496130779
[0,0,5];0,26014853743892985;0,26014853743892985;5;9;0,998415977352;0,992991995987;0,739851462516;1,43436997150466;1,4470687327930931
[0,1,0];1,0;1,0;1;33229;0,000000000000;?;0,000000000000;*;*
[0,1,1];0,9917434102120513;0,9917434102120513;2;32950;0,006072658135;0,008395196040;0,007276933573;1,1668423209293604;1,1646883369360368
[0,1,2];0,778764979983755;0,778764979983755;3;25748;0,165874222287;0,225093549539;0,180479158223;1,0600998542121678;1,058055069942843
[0,1,3];0,07856920942628975;0,07856920942628975;4;1970;0,761842583096;0,940271976960;0,710228533678;1,0;1,0
[0,1,4];0,050592982466128866;0,050592982466128866;5;9;0,979691669833;0,996272938743;0,707131717227;1,135378489190745;1,1426193496130779
[0,1,5];0,280245609961161;0,280245609961161;6;9;0,977713467806;0,967113943966;0,660932647866;2,1833916444027466;2,225118915017124
[0,2,0];0,9995363262409453;0,9995363262409453;2;33213;0,000331570958;0,000481443967;0,000417308230;1,5817177856724611;1,6027840899548331
[0,2,1];0,9636359124643248;0,9636359124643248;3;31974;0,026417197838;0,037762433913;0,030224227111;1,0586549127816214;1,0579030628619368
[0,2,2];0,5462527489798201;0,5462527489798201;4;17566;0,338946581758;0,471252367030;0,348119691270;1,0148547589223422;1,0135036887937732
[0,2,3];0,05940439973991385;0,05940439973991385;5;676;0,815566180153;0,978777490071;0,676707286098;1,0;1,0
[0,2,4];0,07040649971626656;0,07040649971626656;6;9;0,977142589029;0,992914498052;0,638992420928;1,135378489190745;1,1426193496130779
[0,2,5];0,30439023009543464;0,30439023009543464;7;9;0,974916169308;0,935470561090;0,590358477020;2,1833916444027466;2,225118915017124
[0,3,0];0,9978639148695505;0,9978639148695505;3;33152;0,001542566537;0,002316931769;0,001853909878;1,3069107483383968;1,308870090178188
[0,3,1];0,8781523167131193;0,8781523167131193;4;28838;0,089843529837;0,132120519027;0,097189559028;1,02541863511798;1,0237979540368976
[0,3,2];0,3228412933382836;0,3228412933382836;5;8889;0,527749290493;0,732233557620;0,499797420119;1,0;1,0
[0,3,3];0,08859878113837505;0,08859878113837505;6;427;0,825761369611;0,985399335770;0,623243813418;1,0098062578721023;1,0088405648798735
[0,3,4];0,1079708649406188;0,1079708649406188;7;9;0,975046761115;0,986170060198;0,577067851152;1,135378489190745;1,1426193496130779
[0,3,5];0,35016591532470964;0,35016591532470964;8;9;0,972616259370;0,871774561898;0,526221108359;2,1833916444027466;2,225118915017124
